observation,series,Time (day),Measurement (ug/mL),time,measurement,unit
concentration,5sec,11.07695186,11.80997094,70.03034781,80.72433996,nM/L
concentration,5sec,11.07695186,11.4470057,70.03034781,78.24337458,nM/L
concentration,5sec,11.15273252,10.49223875,70.03055543,71.71728472,nM/L
concentration,5sec,11.07695186,10.10332167,70.03034781,69.05893142,nM/L
concentration,5sec,11.07695186,9.792808241,70.03034781,66.93648832,nM/L
concentration,5sec,11.07695186,9.491838072,70.03034781,64.87927595,nM/L
concentration,5sec,11.07695186,9.200117858,70.03034781,62.88528953,nM/L
concentration,5sec,11.07695186,8.917363314,70.03034781,60.95258588,nM/L
concentration,5sec,11.07695186,8.643298891,70.03034781,59.07928155,nM/L
concentration,5sec,11.07695186,8.377657507,70.03034781,57.26355097,nM/L
