obs_id,series,time,measurement
SUVR,nonAPOE4,587797.7239,1.053494379
SUVR,nonAPOE4,597839.2383,1.094640522
SUVR,nonAPOE4,605238.249,1.142437442
SUVR,nonAPOE4,610523.2566,1.186820297
SUVR,nonAPOE4,614751.2626,1.230227704
SUVR,nonAPOE4,618979.2687,1.278024624
SUVR,nonAPOE4,623207.2747,1.329723334
SUVR,nonAPOE4,626906.7801,1.378170553
SUVR,nonAPOE4,630077.7846,1.41978964
SUVR,nonAPOE4,633248.7891,1.462059025
SUVR,nonAPOE4,636948.2945,1.510668818
SUVR,nonAPOE4,641176.3006,1.56529387
SUVR,nonAPOE4,645404.3066,1.616504856
SUVR,nonAPOE4,649632.3127,1.666740395
SUVR,nonAPOE4,653860.3188,1.714537315
SUVR,nonAPOE4,658088.3249,1.758432446
SUVR,nonAPOE4,662316.331,1.801839854
SUVR,nonAPOE4,667072.8378,1.847685879
SUVR,nonAPOE4,672357.8454,1.89528771
SUVR,nonAPOE4,677642.853,1.940158288
SUVR,nonAPOE4,682927.8606,1.981517256
SUVR,nonAPOE4,688741.3689,2.025217298
SUVR,nonAPOE4,695083.3781,2.069437578
SUVR,nonAPOE4,701425.3872,2.110406367
SUVR,nonAPOE4,708295.897,2.151468055
SUVR,nonAPOE4,716223.4084,2.195920585
SUVR,nonAPOE4,724679.4206,2.23908413
SUVR,nonAPOE4,733663.9335,2.281218037
SUVR,nonAPOE4,743705.4479,2.323899278
SUVR,nonAPOE4,754803.9639,2.366623872
SUVR,nonAPOE4,766430.9806,2.407060598
SUVR,nonAPOE4,778057.9973,2.443240827
SUVR,nonAPOE4,789685.014,2.476406038
SUVR,nonAPOE4,801312.0307,2.505846812
SUVR,nonAPOE4,812939.0474,2.532981984
SUVR,nonAPOE4,824566.0641,2.557988907
SUVR,nonAPOE4,836193.0809,2.580867581
SUVR,nonAPOE4,847820.0976,2.601440653
SUVR,nonAPOE4,859447.1142,2.620594892
SUVR,nonAPOE4,870651.3303,2.637017878
SUVR,APOE4,553973.6752,1.01731415
SUVR,APOE4,565600.692,1.033276016
SUVR,APOE4,576699.2079,1.062645849
SUVR,APOE4,585683.7208,1.105509792
SUVR,APOE4,592025.7299,1.149655753
SUVR,APOE4,596782.2368,1.19120981
SUVR,APOE4,601010.2428,1.236080388
SUVR,APOE4,605238.249,1.286315927
SUVR,APOE4,608937.7543,1.332649676
SUVR,APOE4,612108.7588,1.374268763
SUVR,APOE4,615279.7634,1.417188447
SUVR,APOE4,618450.7679,1.459457832
SUVR,APOE4,621621.7725,1.501727218
SUVR,APOE4,624792.777,1.543996603
SUVR,APOE4,627963.7816,1.58561569
SUVR,APOE4,631663.2869,1.632112014
SUVR,APOE4,635891.293,1.682347553
SUVR,APOE4,640119.299,1.730632197
SUVR,APOE4,644347.3051,1.776965946
SUVR,APOE4,648575.3113,1.820373353
SUVR,APOE4,652803.3173,1.861829866
SUVR,APOE4,657559.8241,1.906993078
SUVR,APOE4,662844.8317,1.952644015
SUVR,APOE4,668658.3401,1.999855666
SUVR,APOE4,675000.3492,2.048628034
SUVR,APOE4,681342.3583,2.093173463
SUVR,APOE4,688212.8682,2.13864789
SUVR,APOE4,695611.8788,2.183518468
SUVR,APOE4,703010.8894,2.224208558
SUVR,APOE4,710938.4008,2.26566507
SUVR,APOE4,719922.9137,2.308313796
SUVR,APOE4,729435.9275,2.349499351
SUVR,APOE4,740005.9426,2.391985503
SUVR,APOE4,751632.9593,2.431890167
SUVR,APOE4,763259.976,2.469311875
SUVR,APOE4,774886.9927,2.503009147
SUVR,APOE4,786514.0095,2.532981984
SUVR,APOE4,798141.0262,2.560826572
SUVR,APOE4,809768.0429,2.586010849
SUVR,APOE4,821395.0596,2.609066878
SUVR,APOE4,833022.0763,2.629639949
SUVR,APOE4,844649.093,2.648971542
SUVR,APOE4,856276.1097,2.666884303
SUVR,APOE4,867903.1264,2.683023523
SUVR,APOE4,874245.1356,2.688521499
SUVR,APOE4,175959.5376,1.003738318
SUVR,APOE4,298245.0867,1.003738318
SUVR,APOE4,420530.6359,1.003738318
SUVR,APOE4,507371.0982,1.003738318
SUVR,APOE4,546360.6937,1.010280374
SUVR,APOE4,532182.659,1.003738318
